#;ISO;EN_country;Sco15;Diff sco14;Diff;Abuses score;Underlying situation score;Situation;EN_zone;ES_country;FR_Country;FR_zone;ES_zone;;;;;;
30;BLZ;Belize;18,54;-1,49;"-1 (29 ; 17,05)";;18,54;Satisfactory situation;Americas;Belice;Bélize;Amériques;Amériques;;;;;;
31;LTU;Lithuania;18,8;0,4;"+1 (32 ; 19,2)";16,09;18,8;Satisfactory situation;European Union & the Balkans;Lituania;Lituanie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
32;AND;Andorra;19,87;-13,05;"-27 (5 ; 6,82)";;19,87;Satisfactory situation;European Union & the Balkans;Andorra;Andorre;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
33;ESP;Spain;19,95;0,68;"+2 (35 ; 20,63)";16,09;19,95;Satisfactory situation;European Union & the Balkans;España;Espagne;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
34;GBR;United Kingdom;20;-0,07;"-1 (33 ; 19,93)";;20;Satisfactory situation;European Union & the Balkans;Reino Unido;Royaume-Uni;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
35;SVN;Slovenia;20,55;-0,17;"-1 (34 ; 20,38)";;20,55;Satisfactory situation;European Union & the Balkans;Eslovenia;Slovénie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
36;CPV;Cape Verde;20,69;-6,37;"-12 (24 ; 14,32)";;20,69;Satisfactory situation;Africa;Cabo Verde;Cap-Vert;Afrique;África;;;;;;
37;ATG;OECS;21,02;-0,21;"-1 (36 ; 20,81)";17,92;21,02;Satisfactory situation;Americas;OECS;OECS;Amériques;Amériques;;;;;;
38;FRA;France;21,15;0,74;"+1 (39 ; 21,89)";24,85;20,23;Satisfactory situation;European Union & the Balkans;Francia;France;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
39;ZAF;South Africa;22,06;1,13;"+3 (42 ; 23,19)";10,99;22,06;Satisfactory situation;Africa;Sudáfrica;Afrique du Sud;Afrique;África;;;;;;
40;WSM;Samoa;22,32;-0,3;"0 (40 ; 22,02)";;22,32;Satisfactory situation;Asia-Pacific;Samoa;Samoa;Asie-Pacifique;Asia y el Pacífico;;;;;;
41;TTO;Trinidad and Tobago;22,39;0,89;"+2 (43 ; 23,28)";;22,39;Satisfactory situation;Americas;Trinidad y Tobago;Trinité-et-Tobago;Amériques;Amériques;;;;;;
42;BWA;Botswana;22,91;-;"-1 (41 ; 22,91)";6,93;22,91;Satisfactory situation;Africa;Botsuana;Botswana;Afrique;África;;;;;;
43;CHL;Chile;23;2,8;"+15 (58 ; 25,8)";25,65;22,33;Satisfactory situation;Americas;Chile;Chili;Amériques;Amériques;;;;;;
44;TON;Tonga;23,37;3,33;"+19 (63 ; 26,7)";;23,37;Satisfactory situation;Asia-Pacific;Tonga;Tonga;Asie-Pacifique;Asia y el Pacífico;;;;;;
45;SLV;El Salvador;23,66;-2,09;"-7 (38 ; 21,57)";23,03;23,66;Satisfactory situation;Americas;El Salvador;El Salvador;Amériques;Amériques;;;;;;
46;BFA;Burkina Faso;23,79;0,66;"+6 (52 ; 24,45)";17,92;23,79;Satisfactory situation;Africa;Burkina Faso;Burkina Faso;Afrique;África;;;;;;
47;NER;Niger;23,85;-0,26;"+1 (48 ; 23,59)";24,85;23,6;Satisfactory situation;Africa;Niger;Niger;Afrique;África;;;;;;
48;MLT;Malta;24,16;-0,32;"+3 (51 ; 23,84)";;24,16;Satisfactory situation;European Union & the Balkans;Malta;Malte;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
49;USA;United States;24,41;-0,92;"-3 (46 ; 23,49)";31,78;22,57;Satisfactory situation;Americas;Estados Unidos;États-Unis;Amériques;Amériques;;;;;;
50;COM;Comoros;24,52;-;"+3 (53 ; 24,52)";;24,52;Satisfactory situation;Africa;Comoras;Comores;Afrique;África;;;;;;
51;TWN;Taiwan;24,83;-1,01;"-1 (50 ; 23,82)";28,90;23,82;Satisfactory situation;Asia-Pacific;Taiwán;Taïwan;Asie-Pacifique;Asia y el Pacífico;;;;;;
52;ROU;Romania;24,9;-1,42;"-7 (45 ; 23,48)";20,79;24,9;Satisfactory situation;European Union & the Balkans;Rumania;Roumanie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
53;HTI;Haiti;25,08;-1,55;"-6 (47 ; 23,53)";30,45;23,74;Noticeable problems;Americas;Haití;Haïti;Amériques;Amériques;;;;;;
54;MNG;Mongolia;25,25;5,05;"+34 (88 ; 30,3)";;25,25;Noticeable problems;Asia-Pacific;Mongolia;Mongolie;Asie-Pacifique;Asia y el Pacífico;;;;;;
55;MRT;Mauritania;25,27;1,26;"+5 (60 ; 26,53)";19,46;25,27;Noticeable problems;Africa;Mauritania;Mauritanie;Afrique;África;;;;;;
